"PAPERS_ID","TITLE","AUTHOR_LIST","GRAND PROJECT"
"rn0100-paper.pdf","How Do You Know Where I Am? Objective Measurements of Awareness with Digital Tabletop Embodiments","Andre Doucette, Carl Gutwin, Regan Mandryk","SHRDSP"
"rn0102-paper.pdf","Development of a measure: How well a digital environment facilitates serendipity","Lori McCay-Peet, Elaine Toms","NEWS, NGAIA"
"rn0103-paper.pdf","Public Interaction Framework for Dynamic Digital Displays","Claude Fortin, Jim Bizzocchi, Kate Hennessy, Carman Neustaedter","PLAYPR"
"rn0104-paper.pdf","Time, Decisions and Corrections: Exploring the Three Dimensions of Consistency Maintenance in Network Games","Cheryl Savery, T.C.Nicholas Graham, Carl Gutwin, Michelle Brown","HSCEG"
"rn0106-paper.pdf","Design Guidance for Overcoming the Challenges of Natural User Interfaces","Anna Macaranas, Alissa Antle, Bernhard Riecke","KIDZ"
"rn0108-paper.pdf","Embedding digitized fibre fields in finite element models of muscles","C. Antonio Sanchez, John E. Lloyd, Zhi Li, Sidney Fels, Purang Abolmaesumi","MOTION"
"rn0109-paper.pdf","Human-Robot Communication for Collaborative Assembly","Brian Gleeson, Karon MacLean, Amir Haddadi, Elizabeth Croft, Javier Alcazar","AMBAID "
"rn0110-paper.pdf","OpenVL: An Abstraction for Developer-Friendly Computer Vision","Gregor Miller, Sidney Fels","SHRDSP"
"rn0115-paper.pdf","Two-Layered NPC Behaviour Architecture using Cyclic Scheduling","Richard Zhao, Duane Szafron","BELIEVE"
,"The Perception and Estimation of Distances in S3D Films","Karim Benzeroual, Laurie M. Wilcox, Robert S. Allison",
"rn0118-paper.pdf","Automatic Human Utility Evaluation of ASR Systems: Does WER Really Predict Performance?","Siavash Kazemian, Frauke Zeller, Gerald Penn, Cosmin Munteanu, Benoit Favre, Kyla Cheung, Dennis Ochei, Yang Liu, Adm Lee, Ani Nenkova","NEWS"
"rn0119-paper.pdf","World Pointing: Improving Natural Pointing Interaction with Real-World Landmarks","Adrian Reetz, Carl Gutwin","SHRDSP"
,"Towards Personal Informatics Tools for Chronic Illness Management","Haley MacLeod, Anthony Tang, Sheelagh Carpendale",
"rn0123-paper.pdf","Providing Adaptive Support in an Exploratory Learning Environment by Mining User Interaction Data: A Pilot Study","Samad Kardan, Cristina Conati","SIMUL"
